Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 175,David Copperfield,"Charles Dickens, Edward Killoran Brown, Jeremy Tambling, Charles Dickens","19th Century, Audiobook, Classics, Fiction, Historical Fiction, Literature, Novels"
Knjiga 176,Requiem for a Dream,"Hubert Selby Jr., Darren Aronofsky, Richard Price, Hubert Selby Jr.","Classics, Contemporary, Crime, Fiction, Mystery, Novels, Thriller"
Knjiga 177,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill, Geoffrey Chaucer","Classics, Fiction, Literature, Medieval, Poetry, School, Short Stories"
Knjiga 178,The World According to Garp,"John Irving, John Irving","Classics, Contemporary, Fiction, Humor, Literary Fiction, Literature, Novels"
Knjiga 179,Memoirs of a Geisha,"Arthur Golden, Arthur Golden","Book Club, Classics, Fiction, Historical, Historical Fiction, Japan, Romance"
Knjiga 180,Thirteen Reasons Why,"Jay Asher, Jay Asher","Contemporary, Fiction, Mental Health, Mystery, Realistic Fiction, Teen, Young Adult"
Knjiga 181,Mockingjay,"Suzanne Collins, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 182,The Iliad / The Odyssey,"Homer, Robert Fagles, Bernard Knox, Homer","Classics, Fantasy, Fiction, Historical Fiction, Literature, Mythology, Poetry"
Knjiga 183,The Killer Inside Me,"Jim Thompson, Jim Thompson","Crime, Fiction, Horror, Mystery, Mystery Thriller, Noir, Thriller"
Knjiga 184,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith, J.R.R. Tolkien","Classics, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mythology, Science Fiction Fantasy"
Knjiga 185,Darkly Dreaming Dexter,"Jeff Lindsay, Jeff Lindsay","Audiobook, Crime, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 186,His Dark Materials,"Philip Pullman, Philip Pullman","Childrens, Classics, Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Young Adult"
Knjiga 187,Howl’s Moving Castle,"Diana Wynne Jones, Diana Wynne Jones","Classics, Fantasy, Fiction, Magic, Middle Grade, Romance, Young Adult"
Knjiga 188,The Collector,"John Fowles, John Fowles","Classics, Crime, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 189,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson, Margery Williams Bianco","Animals, Childrens, Classics, Fantasy, Fiction, Picture Books, Young Adult"
Knjiga 190,Anne of Green Gables,"L.M. Montgomery, Jennifer Lee Carrell, L.M. Montgomery","Audiobook, Childrens, Classics, Fiction, Historical Fiction, Middle Grade, Young Adult"
Knjiga 191,The Trial,"Franz Kafka, Max Brod, Willa Muir, Franz Kafka","Classics, Dystopia, Fiction, German Literature, Literature, Novels, Philosophy"
Knjiga 192,Schindler’s List,"Thomas Keneally, Thomas Keneally","Classics, Historical, History, Holocaust, Nonfiction, War, World War II"
Knjiga 193,Shōgun,"James Clavell, James Clavell","Adventure, Audiobook, Classics, Fiction, Historical, Historical Fiction, Japan"
Knjiga 194,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith, Gregory Maguire","Adult, Audiobook, Book Club, Classics, Fantasy, Fiction, Retellings"
Knjiga 195,Less Than Zero,"Bret Easton Ellis, Rachel Kushner, Bret Easton Ellis","American, Classics, Contemporary, Fiction, Literary Fiction, Literature, Novels"
Knjiga 196,Clockwork Prince,"Cassandra Clare, Cassandra Clare","Fantasy, Historical Fiction, Paranormal, Romance, Steampunk, Urban Fantasy, Young Adult"
Knjiga 197,High-Rise,"J.G. Ballard, J.G. Ballard","Audiobook, Classics, Dystopia, Fiction, Horror, Science Fiction, Thriller"
Knjiga 198,Galveston,"Nic Pizzolatto, Nic Pizzolatto","Crime, Fiction, Mystery, Mystery Thriller, Noir, Novels, Thriller"
Knjiga 199,L.A. Confidential,"James Ellroy, James Ellroy","Crime, Fiction, Historical Fiction, Mystery, Mystery Thriller, Noir, Thriller"
Knjiga 200,"My Sister, the Serial Killer","Oyinkan Braithwaite, Oyinkan Braithwaite","Audiobook, Book Club, Contemporary, Crime, Fiction, Mystery, Thriller"
Knjiga 201,The Alchemist,"Paulo Coelho, Alan R. Clarke, Paulo Coelho","Book Club, Classics, Fantasy, Fiction, Novels, Philosophy, Self Help"
Knjiga 202,The Winter of Frankie Machine,"Don Winslow, Don Winslow","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Noir, Thriller"
Knjiga 203,Hidden Bodies,"Caroline Kepnes, Caroline Kepnes","Audiobook, Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 204,Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner, William J. Winslade, Viktor E. Frankl","Biography, History, Memoir, Nonfiction, Philosophy, Psychology, Self Help"
Knjiga 205,The Tesseract,"Alex Garland, Alex Garland","Adventure, Book Club, Contemporary, Crime, Fiction, Mystery, Thriller"
Knjiga 206,Extremely Loud & Incredibly Close,"Jonathan Safran Foer, Jonathan Safran Foer","Adult, Book Club, Contemporary, Fiction, Historical Fiction, Literary Fiction, Novels"
Knjiga 207,The Talented Mr. Ripley,"Patricia Highsmith, Patricia Highsmith","Book Club, Classics, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 208,Audition,"Ryū Murakami, Ralph McCarthy, Ryū Murakami","Contemporary, Fiction, Horror, Japan, Japanese Literature, Mystery, Thriller"
Knjiga 209,The Silence of the Lambs,"Thomas  Harris, Thomas  Harris","Classics, Crime, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 210,American Tabloid,"James Ellroy, James Ellroy","Crime, Fiction, Historical Fiction, Mystery, Mystery Thriller, Noir, Thriller"
Knjiga 211,The Green Mile,"Stephen  King, Stephen  King","Classics, Crime, Fantasy, Fiction, Horror, Mystery, Thriller"
Knjiga 212,Lord of the Flies,"William Golding, William Golding","Classics, Dystopia, Fiction, Literature, Read For School, School, Young Adult"
Knjiga 213,Notes on an Execution,"Danya Kukafka, Danya Kukafka","Audiobook, Book Club, Contemporary, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 214,Libra,"Don DeLillo, Don DeLillo","American, Contemporary, Fiction, Historical Fiction, Literary Fiction, Literature, Novels"
Knjiga 215,Angels Fall,"Nora Roberts, Nora Roberts","Contemporary, Contemporary Romance, Fiction, Mystery, Romance, Romantic Suspense, Suspense"
Knjiga 216,Savages,"Don Winslow, Don Winslow","Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Noir, Thriller"
Knjiga 217,The Other Boleyn Girl,"Philippa Gregory, Philippa Gregory","Adult, Book Club, British Literature, Fiction, Historical, Historical Fiction, Romance"
Knjiga 218,Last Exit to Brooklyn,"Hubert Selby Jr., Gilbert Sorrentino, Hubert Selby Jr.","American, Classics, Contemporary, Fiction, New York, Novels, Thriller"
Knjiga 219,Kill Your Friends,"John Niven, John Niven","Contemporary, Crime, Fiction, Humor, Music, Mystery, Thriller"
Knjiga 220,Tokyo: The Devil of Nanking,"Mo Hayder, Rahmani Astuti, Mo Hayder","Crime, Fiction, Historical Fiction, Horror, Japan, Mystery, Thriller"
Knjiga 221,City of God,"Paulo Lins, Alison Entrekin, Paulo Lins","Adventure, Book Club, Contemporary, Crime, Fiction, Mystery, Thriller"
Knjiga 222,The Sun Also Rises,"Ernest Hemingway, Ernest Hemingway","American, Book Club, Classics, Fiction, Historical Fiction, Literature, Novels"
Knjiga 223,To Kill a Mockingbird,"Harper Lee, Harper Lee","Classics, Fiction, Historical, Historical Fiction, Literature, School, Young Adult"
Knjiga 224,Romeo and Juliet,"William Shakespeare, William Shakespeare","Classics, Drama, Fiction, Plays, Romance, School, Shakespeare"
Knjiga 225,Clockers,"Richard Price, Richard Price","Adventure, Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 226,Brave New World,"Aldous Huxley, Aldous Huxley","Classics, Dystopia, Fiction, Literature, Novels, School, Science Fiction"
Knjiga 227,The Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams","Audiobook, Classics, Comedy, Fantasy, Fiction, Humor, Science Fiction"
Knjiga 228,City of Bones,"Cassandra Clare, Cassandra Clare","Fantasy, Fiction, Paranormal, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 229,The Help,"Kathryn Stockett, Kathryn Stockett","Adult, Adult Fiction, Book Club, Classics, Fiction, Historical, Historical Fiction"
Knjiga 230,Dracula,"Bram Stoker, Rubén Toledo, Nina Auerbach, Bram Stoker","Audiobook, Classics, Fantasy, Fiction, Gothic, Horror, Vampires"
Knjiga 231,Fahrenheit 451,"Ray Bradbury, Ray Bradbury","Audiobook, Classics, Dystopia, Fiction, Literature, School, Science Fiction"
Knjiga 232,1984,"George Orwell, George Orwell","Classics, Dystopia, Fiction, Literature, Novels, Politics, Science Fiction"
Knjiga 233,Charlotte’s Web,"E.B. White, Garth Williams, Rosemary Wells, E.B. White","Animals, Childrens, Classics, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 234,Of Mice and Men,"John Steinbeck, John Steinbeck","Classics, Fiction, Historical Fiction, Literature, Novels, Read For School, School"
Knjiga 235,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 236,Ender’s Game,"Orson Scott Card, Orson Scott Card","Classics, Dystopia, Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Young Adult"
Knjiga 237,The Catcher in the Rye,"J.D. Salinger, J.D. Salinger","Classics, Coming Of Age, Fiction, Literature, Novels, School, Young Adult"
Knjiga 238,Little Women,"Louisa May Alcott, Regina Barreca, Grzegorz Komerski, Louisa May Alcott","Book Club, Classics, Fiction, Historical, Historical Fiction, Romance, Young Adult"
Knjiga 239,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa, Gabriel García Márquez","Classics, Fantasy, Fiction, Historical Fiction, Literature, Magical Realism, Novels"
Knjiga 240,A Thousand Splendid Suns,"Khaled Hosseini, Khaled Hosseini","Book Club, Classics, Contemporary, Fiction, Historical, Historical Fiction, Novels"
Knjiga 241,The Outsiders,"S.E. Hinton, S.E. Hinton","Classics, Coming Of Age, Fiction, Historical Fiction, Read For School, School, Young Adult"
Knjiga 242,The Secret Garden,"Frances Hodgson Burnett, Frances Hodgson Burnett","Audiobook, Childrens, Classics, Fiction, Historical Fiction, Middle Grade, Young Adult"
Knjiga 243,The Princess Bride,"William Goldman, William Goldman","Adventure, Classics, Fantasy, Fiction, Humor, Romance, Young Adult"
Knjiga 244,A Game of Thrones,"George R.R. Martin, George R.R. Martin","Adult, Audiobook, Epic Fantasy, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 245,The Time Traveler's Wife,"Audrey Niffenegger, Audrey Niffenegger","Book Club, Contemporary, Fantasy, Fiction, Romance, Science Fiction, Time Travel"
Knjiga 246,The Book Thief,"Markus Zusak, Markus Zusak","Book Club, Classics, Fiction, Historical, Historical Fiction, War, Young Adult"
Knjiga 247,Harry Potter and the Deathly Hallows,"J.K. Rowling, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 248,Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte  Gordon, Mary Wollstonecraft Shelley","Classics, Fantasy, Fiction, Gothic, Horror, School, Science Fiction"
Knjiga 249,The Odyssey,"Homer, Robert Fagles, Bernard Knox, Homer","Classics, Fantasy, Fiction, Literature, Mythology, Poetry, School"
Knjiga 250,The Handmaid’s Tale,"Margaret Atwood, Margaret Atwood","Book Club, Classics, Dystopia, Fantasy, Feminism, Fiction, Science Fiction"
Knjiga 251,The Girl With the Dragon Tattoo,"Stieg Larsson, Reg Keeland, Stieg Larsson","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 252,A Wrinkle in Time,"Madeleine L'Engle, Madeleine L'Engle","Childrens, Classics, Fantasy, Fiction, Middle Grade, Science Fiction, Young Adult"
Knjiga 253,The Kite Runner,"Khaled Hosseini, Khaled Hosseini","Book Club, Classics, Contemporary, Fiction, Historical, Historical Fiction, Novels"
Knjiga 254,The Giver,"Lois Lowry, Lois Lowry","Classics, Dystopia, Fantasy, Fiction, School, Science Fiction, Young Adult"
Knjiga 255,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 256,Dune,"Frank Herbert, Frank Herbert","Audiobook, Classics, Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Space Opera"
Knjiga 257,Twilight,"Stephenie Meyer, Stephenie Meyer","Fantasy, Fiction, Paranormal, Paranormal Romance, Romance, Vampires, Young Adult"
Knjiga 258,Where the Wild Things Are,"Maurice Sendak, Maurice Sendak","Adventure, Childrens, Classics, Fantasy, Fiction, Picture Books, Young Adult"
Knjiga 259,Green Eggs and Ham,"Dr. Seuss, Dr. Seuss","Childrens, Classics, Fantasy, Fiction, Humor, Picture Books, Poetry"
Knjiga 260,The Lovely Bones,"Alice Sebold, Alice Sebold","Contemporary, Crime, Fantasy, Fiction, Mystery, Thriller, Young Adult"
Knjiga 261,The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell, E.W. Kemble, Mark Twain","Adventure, Classics, Fiction, Historical Fiction, Literature, School, Young Adult"
Knjiga 262,Life of Pi,"Yann Martel, Yann Martel","Adventure, Book Club, Classics, Contemporary, Fantasy, Fiction, Magical Realism"
Knjiga 263,Lolita,"Vladimir Nabokov, Craig Raine, Vladimir Nabokov","Classics, Fiction, Literature, Novels, Romance, Russia, Russian Literature"
Knjiga 264,A Tale of Two Cities,"Charles Dickens, Charles Dickens","Classics, Fiction, Historical, Historical Fiction, Literature, Novels, School"
Knjiga 265,Slaughterhouse-Five,"Kurt Vonnegut Jr., Kurt Vonnegut Jr.","Classics, Fiction, Historical Fiction, Literature, Novels, Science Fiction, War"
Knjiga 266,The Bell Jar,"Sylvia Plath, Sylvia Plath","Classics, Feminism, Fiction, Literary Fiction, Literature, Mental Health, Psychology"
Knjiga 267,Matilda,"Roald Dahl, Quentin Blake, Roald Dahl","Audiobook, Childrens, Classics, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 268,Animal Farm,"George Orwell, Russell Baker, C.M. Woodhouse, George Orwell","Classics, Dystopia, Fantasy, Fiction, Literature, Politics, School"
Knjiga 269,Water for Elephants,"Sara Gruen, Sara Gruen","Adult, Adult Fiction, Book Club, Fiction, Historical, Historical Fiction, Romance"
Knjiga 270,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Olly Moss, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 271,The Stand,"Stephen  King, Bernie Wrightson, Stephen  King","Dystopia, Fantasy, Fiction, Horror, Post Apocalyptic, Science Fiction, Thriller"
Knjiga 272,Catch-22,"Joseph Heller, Joseph Heller","Classics, Fiction, Historical Fiction, Humor, Literature, Novels, War"
Knjiga 273,The Adventures of Sherlock Holmes,"Arthur Conan Doyle, Arthur Conan Doyle","Audiobook, Classics, Crime, Detective, Fiction, Mystery, Short Stories"
Knjiga 274,The Pillars of the Earth,"Ken Follett, Ken Follett","Audiobook, Classics, Fantasy, Fiction, Historical, Historical Fiction, Medieval"
Knjiga 275,Rebecca,"Daphne du Maurier, Daphne du Maurier","Book Club, Classics, Fiction, Gothic, Mystery, Romance, Thriller"
Knjiga 276,Watership Down,"Richard  Adams, Richard  Adams","Adventure, Animals, Childrens, Classics, Fantasy, Fiction, Young Adult"
Knjiga 277,A Clockwork Orange,"Anthony Burgess, Anthony Burgess","Classics, Dystopia, Fiction, Horror, Literature, Novels, Science Fiction"
Knjiga 278,The Color Purple,"Alice Walker, Alice Walker","Classics, Feminism, Fiction, Historical, Historical Fiction, LGBT, Queer"
Knjiga 279,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"J.R.R. Tolkien, J.R.R. Tolkien","Adventure, Classics, Epic Fantasy, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 280,Great Expectations,"Charles Dickens, Kate Flint, Margaret Cardwell, Charles Dickens","Classic Literature, Classics, Fiction, Historical Fiction, Literature, Novels, School"
Knjiga 281,Outlander,"Diana Gabaldon, Diana Gabaldon","Fantasy, Fiction, Historical, Historical Fiction, Historical Romance, Romance, Time Travel"
Knjiga 282,Anna Karenina,"Leo Tolstoy, Aylmer Maude, Louise Maude, Leo Tolstoy","Classics, Fiction, Historical Fiction, Literature, Romance, Russia, Russian Literature"
Knjiga 283,The Fellowship of the Ring,"J.R.R. Tolkien, J.R.R. Tolkien, Ken Liu","Adventure, Audiobook, Classics, Epic Fantasy, Fantasy, Fiction, High Fantasy"
Knjiga 284,One Flew Over the Cuckoo’s Nest,"Ken Kesey, Ken Kesey","Classics, Fiction, Literature, Mental Health, Novels, Psychology, School"
Knjiga 285,The Brothers Karamazov,"Fyodor Dostoevsky, Richard Pevear, Larissa Volokhonsky, Fyodor Dostoevsky","Classics, Fiction, Literature, Novels, Philosophy, Russia, Russian Literature"
Knjiga 286,The Elephant Tree,"R.D. Ronald, R.D. Ronald","Book Club, Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 287,My Sister's Keeper,"Jodi Picoult, Jodi Picoult","Adult, Book Club, Chick Lit, Contemporary, Drama, Fiction, Young Adult"
Knjiga 288,To Kill a Mockingbird,"Harper Lee, Harper Lee","Classics, Fiction, Historical, Historical Fiction, Literature, School, Young Adult"
Knjiga 289,A Tree Grows in Brooklyn,"Betty  Smith, Betty  Smith","Book Club, Classics, Coming Of Age, Fiction, Historical, Historical Fiction, Young Adult"
Knjiga 290,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes, C.S. Lewis","Adventure, Childrens, Christian, Classics, Fantasy, Fiction, Young Adult"
Knjiga 291,The Zombie Room,"R.D. Ronald, R.D. Ronald","Book Club, Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 292,The Road,"Cormac McCarthy, Cormac McCarthy","Book Club, Classics, Dystopia, Fiction, Horror, Post Apocalyptic, Science Fiction"
Knjiga 293,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 294,The Golden Compass,"Philip Pullman, Philip Pullman","Adventure, Audiobook, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 295,Siddhartha,"Hermann Hesse, Hilda Rosner, Hermann Hesse","Buddhism, Classics, Fiction, Literature, Philosophy, Religion, Spirituality"
Knjiga 296,Vampire Academy,"Richelle Mead, Richelle Mead","Fantasy, Fiction, Paranormal, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 297,And Then There Were None,"Agatha Christie, Agatha Christie","Agatha Christie, Classics, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 298,Gone Girl,"Gillian Flynn, Gillian Flynn","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 299,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford, Miguel de Cervantes Saavedra","Adventure, Classics, Fiction, Historical Fiction, Literature, Novels, Spanish Literature"
Knjiga 300,Angela's Ashes,"Frank McCourt, Frank McCourt","Autobiography, Biography, Biography Memoir, Classics, Ireland, Memoir, Nonfiction"
